Date,Revenue,COGS,year,month,day,dayofweek,dayofyear,weekofyear,quarter,is_weekend,is_month_end,is_month_start,is_quarter_end,dom_bin,trend,sin_365d_k1,cos_365d_k1,sin_365d_k2,cos_365d_k2,sin_365d_k3,cos_365d_k3,sin_365d_k4,cos_365d_k4,sin_7d_k1,cos_7d_k1,sin_7d_k2,cos_7d_k2,sin_7d_k3,cos_7d_k3,rev_lag_365,rev_lag_364,rev_lag_728,rev_lag365_roll7,rev_lag365_roll30,log_rev_lag_365,log_monthly_avg,monthly_avg_rev,trend_multiplier,days_to_tet,pre_tet_7d,pre_tet_14d,post_tet_7d,is_fixed_holiday,is_tet_holiday,is_black_friday_month,is_1111,is_1212,sessions_lag_365,visitors_lag_365,n_active_promos,max_promo_discount,has_stackable_promo
2013-07-04,2521315.44,2408274.98,2013,7,4,3,185,27,3,0,0,0,0,0,365,-0.04302223300453034,-0.99907411510223,0.08596479873744621,0.9962981749346078,-0.1287481774525817,-0.9916773198992899,0.1712931441814771,0.9852201067560608,0.43388373911755823,-0.900968867902419,-0.7818314824680299,0.6234898018587334,0.9749279121818237,-0.2225209339563141,5123547.94,2751773.45,3906454.96,3399320.4375,4153522.158,15.449357909240307,15.353964854740417,4657384.768214286,1.0,144,0,0,0,0,0,0,0,0,23147.0,17484.0,1,18.0,0
2013-07-05,2494107.65,2432073.97,2013,7,5,4,186,27,3,0,0,0,0,0,366,-0.060213277365792774,-0.9981855344718586,0.12020804489935226,0.9927487224577403,-0.17976658572556148,-0.9837092937736099,0.23867276600594928,0.9711000518829506,-0.433883739117558,-0.9009688679024191,0.7818314824680296,0.6234898018587337,-0.9749279121818235,-0.2225209339563148,2751773.45,3054029.42,3906454.96,3191626.73,4295269.9675,14.827756516101003,15.353964854740417,4657384.768214286,1.0,145,0,0,0,0,0,0,0,0,23147.0,17484.0,1,18.0,0
2013-07-06,2452372.43,2331799.51,2013,7,6,5,187,27,3,1,0,0,0,0,367,-0.07738647923346322,-0.9970011699250151,0.15430882066428142,0.9880226656636976,-0.23030567023061174,-0.973118337233262,0.30492122465628957,0.9523775757303973,-0.9749279121818236,-0.2225209339563146,0.43388373911755845,-0.9009688679024189,0.7818314824680284,0.6234898018587354,3054029.42,2667930.94,3906454.96,3251086.685,4346811.172941176,14.931972725418376,15.353964854740417,4657384.768214286,1.0,146,0,0,0,0,0,0,0,0,23147.0,17484.0,1,18.0,0
2013-07-07,2958215.01,2950992.63,2013,7,7,6,188,27,3,1,0,0,0,0,368,-0.09453674981719933,-0.9955213724144752,0.1882267098432443,0.9821256058680006,-0.28023067519921585,-0.9599326896597447,0.3697245428906733,0.9291414114031742,-0.7818314824680299,0.6234898018587334,-0.9749279121818235,-0.2225209339563148,-0.43388373911755757,-0.9009688679024194,2667930.94,2360851.9,3906454.96,3534494.104285714,4296552.608888889,14.796814175947144,15.353964854740417,4657384.768214286,1.0,147,0,0,0,0,0,0,0,0,23147.0,17484.0,1,18.0,0
2013-07-08,2571901.18,2450996.77,2013,7,8,0,189,28,3,0,0,0,0,0,369,-0.11165900712169444,-0.9937465804361781,0.2219215130041654,0.9750645322571948,-0.32940848222452995,-0.9441875088341994,0.432775592550431,0.9015016841318841,0.0,1.0,0.0,1.0,0.0,1.0,2360851.9,3548386.46,3906454.96,3600113.652857143,4234499.87,14.67453351001824,15.353964854740417,4657384.768214286,1.0,148,0,0,0,0,0,0,0,0,23147.0,17484.0,1,18.0,0
2013-07-09,4624825.33,4592718.95,2013,7,9,1,190,28,3,0,0,0,0,0,370,-0.12874817745258066,-0.99167731989929,0.25535329511618676,0.9668478136052776,-0.3777079652039649,-0.9259247771938498,0.49377555015997676,0.8695893893466112,0.7818314824680298,0.6234898018587336,0.9749279121818236,-0.22252093395631434,0.43388373911755823,-0.900968867902419,3548386.46,5234938.62,3906454.96,4026236.305714286,4259300.761,15.082003821635174,15.353964854740417,4657384.768214286,1.0,149,0,0,0,0,0,0,0,0,23147.0,17484.0,1,18.0,0
2013-07-10,3855254.64,3797797.81,2013,7,10,2,191,28,3,0,0,0,0,0,371,-0.14579919691987442,-0.9893142039703664,0.28848243288060854,0.9574851883550394,-0.4250003399695525,-0.9051931898913982,0.5524353131676188,0.8335557718385704,0.9749279121818236,-0.22252093395631434,-0.433883739117558,-0.9009688679024191,-0.7818314824680299,0.6234898018587334,5234938.62,5582884.78,3906454.96,4348448.061428571,4251548.159047619,15.47086586831386,15.353964854740417,4657384.768214286,1.0,150,0,0,0,0,0,0,0,0,23147.0,17484.0,1,18.0,0
2013-07-11,5785320.61,5626075.87,2013,7,11,3,192,28,3,0,0,0,0,1,372,-0.16280701293851646,-0.9866579328916572,0.3212696616923639,0.9469877530760755,-0.47115950767386416,-0.8820480249558535,0.6084768701151251,0.7935716089521482,0.43388373911755823,-0.900968867902419,-0.7818314824680299,0.6234898018587334,0.9749279121818237,-0.2225209339563141,5582884.78,5734632.02,3906454.96,4513148.128571428,4296781.791818182,15.535216365548381,15.353964854740417,4657384.768214286,1.0,151,0,0,0,0,0,0,0,0,23147.0,17484.0,1,18.0,0
2013-07-12,6053300.71,5886949.95,2013,7,12,4,193,28,3,0,0,0,0,1,373,-0.17976658572556214,-0.9837092937736098,0.3536761221763716,0.9353679493131483,-0.5160623910158532,-0.8565509959010034,0.6616346182422784,0.7498264012045684,-0.433883739117558,-0.9009688679024191,0.7818314824680296,0.6234898018587337,-0.9749279121818235,-0.2225209339563148,5734632.02,5309511.71,3906454.96,4740003.754285715,4364398.455652175,15.562034316960265,15.353964854740417,4657384.768214286,1.0,152,0,0,0,0,0,0,0,0,23147.0,17484.0,1,18.0,0
2013-07-13,4161301.31,3995435.41,2013,7,13,5,194,28,3,1,0,0,0,1,374,-0.19667288979357622,-0.9804691603616321,0.38566340624360695,0.9226395488404876,-0.5595892624101757,-0.8287700871745043,0.7116566222817745,0.7025274741691572,-0.9749279121818236,-0.2225209339563146,0.43388373911755845,-0.9009688679024189,0.7818314824680284,0.6234898018587354,5309511.71,3820831.41,3906454.96,4733634.472857143,4397410.997083333,15.485010620645566,15.353964854740417,4657384.768214286,1.0,153,0,0,0,0,0,0,0,0,23147.0,17484.0,1,18.0,0
